day,fold,T,tau_star,tau_robust,NB_star,NB_robust,NB_low90_at_robust,max_NB_point,max_NB_low90,NB_all_at_star,NB_all_at_robust,prevalence,treat_rate_star,treat_rate_rob
12,1,100,0.05,0.05,0.04419018560894991,0.04419018560894991,0.0342126768260261,0.04419018560894991,0.0342126768260261,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.14589371980676327,0.14589371980676327
12,2,75,0.05,0.05,0.1394328845369237,0.1394328845369237,0.12123906966967818,0.1394328845369237,0.12123906966967818,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.25775193798449614,0.25775193798449614
12,2,100,0.05,0.05,0.05497756017951856,0.05497756017951856,0.04296200337407673,0.05497756017951856,0.04296200337407673,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.1182170542635659,0.1182170542635659
12,3,75,0.05,0.05,0.13521400778210116,0.13521400778210116,0.11727447326015768,0.13521400778210116,0.11727447326015768,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.2908560311284047,0.2908560311284047
12,3,100,0.05,0.05,0.055191480647143146,0.055191480647143146,0.044584879442871116,0.055191480647143146,0.044584879442871116,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.13813229571984437,0.13813229571984437
12,4,75,0.05,0.05,0.14760508308895406,0.14760508308895406,0.1301468112016892,0.14760508308895406,0.1301468112016892,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.2649071358748778,0.2649071358748778
12,4,100,0.05,0.05,0.044657097288676235,0.044657097288676235,0.033896520821400114,0.044657097288676235,0.033896520821400114,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.12903225806451613,0.12903225806451613
12,5,75,0.05,0.05,0.12254825855198467,0.12254825855198467,0.10639332325524166,0.12254825855198467,0.10639332325524166,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.26745329400196655,0.26745329400196655
12,5,100,0.05,0.05,0.0424364746674947,0.0424364746674947,0.032236461638660396,0.0424364746674947,0.032236461638660396,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.11799410029498525,0.11799410029498525
13,1,75,0.05,0.05,0.11828121027205696,0.11828121027205696,0.10180156919234426,0.11828121027205696,0.10180156919234426,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.2647342995169082,0.2647342995169082
